1;14.03.2017;tirsdag;20:00;Austrått 1;3 - 1;Bogafjell 1;Iglemyr kunstgressbane;G15 1. div avd 01;11115101001
1;15.03.2017;onsdag;20:00;Austrått 1;0 - 5;Bryne 3;Iglemyr kunstgressbane;G19 1. div avd 01;11119101001
2;21.03.2017;tirsdag;20:00;Egersunds 2;3 - 5;Austrått 1;Kiwi Banen Bakkebø;G15 1. div avd 01;11115101008
2;22.03.2017;onsdag;20:00;Vardeneset 1;5 - 0;Austrått 1;Vardeneset kunstgress 1- Modenabanen;G19 1. div avd 01;11119101008
1;25.03.2017;lørdag;15:00;Staal Jørpeland;5 - 2;Austrått;Jørpeland kunstgress hoved;Kvalifisering NM Menn 2017;99120901043
3;28.03.2017;tirsdag;19:00;Austrått 1;3 - 0;Finnøy 1;Iglemyr kunstgressbane;G15 1. div avd 01;11115101015
3;29.03.2017;onsdag;20:00;Austrått 1;5 - 4;Hinna 2;Iglemyr kunstgressbane;G19 1. div avd 01;11119101015
1;31.03.2017;fredag;18:00;Austrått;8 - 0;Avaldsnes;Iglemyr gras;M 4 div 2017 avdeling 02;11120402001
4;04.04.2017;tirsdag;20:00;Viking 2;6 - 3;Austrått 1;Vestbanen;G15 1. div avd 01;11115101023
1;05.04.2017;onsdag;20:00;Hana 1;4 - 3;Austrått 2;Hanabanen;G19 2. div avd 02;11119202004
2;06.04.2017;torsdag;19:00;Djerv 1919;5 - 1;Austrått;Djervbanen;M 4 div 2017 avdeling 02;11120402008
1;18.04.2017;tirsdag;17:00;Bogafjell 1;-;Austrått 1;;G12 Nivå 2 avd 06;11112206002
1;18.04.2017;tirsdag;17:10;Austrått 1;-;Bogafjell 1;;J12 Nivå 2 avd 02;11212202001
1;18.04.2017;tirsdag;18:00;Austrått 1;-;Bogafjell 3;;G11 Nivå 2 avd 08;11111208001
1;18.04.2017;tirsdag;18:00;Voll 2;-;Austrått 2;;J12 Nivå 2 avd 04;11212204005
1;18.04.2017;tirsdag;18:00;Austrått 2;-;Rosseland 2;;J11 Nivå 2 avd 04;11211204004
1;18.04.2017;tirsdag;18:00;Austrått 2;-;Midtbygdens 1;;G12 Nivå 2 avd 05;11112205005
1;18.04.2017;tirsdag;18:00;Lura 2;-;Austrått 3;;G12 Nivå 3 avd 02;11112302002
1;18.04.2017;tirsdag;18:30;Austrått /Hana 1;1 - 2;Frøyland 1;Iglemyr kunstgressbane;J13 2. div avd 02 Vårserie;11213202001
5;18.04.2017;tirsdag;20:00;Austrått 1;5 - 2;Hundvåg 1;Iglemyr kunstgressbane;G15 1. div avd 01;11115101029
1;19.04.2017;onsdag;18:00;Austrått 3;-;Sviland 1;;G10 Nivå 3 avd 02;11110302001
1;19.04.2017;onsdag;18:30;Austrått 2;2 - 3;Randaberg 2;;G16 7er avd 01;11116701005
6;19.04.2017;onsdag;20:00;Varhaug 1;4 - 1;Austrått 1;Varhaug Kunstgress 1;G19 1. div avd 01;11119101038
1;20.04.2017;torsdag;20:00;Bryne 2;4 - 5;Austrått 1;Aarbakkebanen Bryne;G16 1. div avd 01;11116101004
3;21.04.2017;fredag;19:00;Austrått;3 - 5;Frøyland;Iglemyr gras;M 4 div 2017 avdeling 02;11120402015
5;23.04.2017;søndag;19:00;Austrått 1;4 - 1;Klepp 1;Iglemyr kunstgressbane;G19 1. div avd 01;11119101029
2;24.04.2017;mandag;17:30;Austrått 1;5 - 0;Eiger 1;Iglemyr kunstgressbane;G16 1. div avd 01;11116101006
2;24.04.2017;mandag;19:00;Austrått 2;3 - 2;Brusand 1;Iglemyr kunstgressbane;G19 2. div avd 02;11119202006
1;24.04.2017;mandag;19:00;Austrått 2;1 - 3;Figgjo;Iglemyr gras;M 5 div 2017 avdeling 02;11120502001
2;24.04.2017;mandag;19:15;Varhaug 1;1 - 3;Austrått /Hana 1;Varhaug Kunstgress 2;J13 2. div avd 02 Vårserie;11213202005
2;25.04.2017;tirsdag;17:00;Bogafjell 3;-;Austrått 2;;G12 Nivå 2 avd 05;11112205010
2;25.04.2017;tirsdag;17:15;Bryne 2;-;Austrått 1;;G11 Nivå 2 avd 08;11111208006
2;25.04.2017;tirsdag;18:00;Austrått 3;-;Egersunds 2;;J12 Nivå 2 avd 05;11212205009
2;25.04.2017;tirsdag;18:00;Nærbø 1;-;Austrått 2;;J11 Nivå 2 avd 04;11211204007
2;25.04.2017;tirsdag;18:00;Austrått 1;-;Sandved 2;;G12 Nivå 2 avd 06;11112206008
2;25.04.2017;tirsdag;18:00;Austrått 3;-;Sandnes Ulf 3;;G12 Nivå 3 avd 02;11112302008
2;25.04.2017;tirsdag;18:00;Ganddal 3;-;Austrått 1;;J12 Nivå 2 avd 02;11212202006
2;25.04.2017;tirsdag;18:00;Austrått 2;-;Riska 2;;J12 Nivå 2 avd 04;11212204009
1;25.04.2017;tirsdag;20:00;Austrått 3;2 - 2;Ganddal 2;Iglemyr kunstgressbane;M 7 div 2017 avdeling 02;11120702001
2;25.04.2017;tirsdag;20:00;Randaberg 3;1 - 7;Austrått 2;;G16 7er avd 01;11116701010
2;26.04.2017;onsdag;18:00;Ålgård 3;-;Austrått 3;;G10 Nivå 3 avd 02;11110302006
2;26.04.2017;onsdag;18:00;Austrått 2;-;Bryne 3;;G10 Nivå 2 avd 09;11110209009
7;26.04.2017;onsdag;19:00;Dirdal 1;-;Austrått 1;;G12 Nivå 2 avd 06;11112206034
7;26.04.2017;onsdag;20:00;Austrått 1;1 - 4;Madla 2;Iglemyr kunstgressbane;G19 1. div avd 01;11119101043
1;27.04.2017;torsdag;18:30;Forus og Gausel 2;2 - 3;Austrått /Ganddal 1;Knudamyra kunstgress 1;J16 1. div avd 01 Vårserie;11216101001
6;27.04.2017;torsdag;18:30;Klebe 1;2 - 1;Austrått 1;Sentralidrettsanlegget;G15 1. div avd 01;11115101038
4;27.04.2017;torsdag;19:00;Kopervik;2 - 1;Austrått;Åsebøen stadion;M 4 div 2017 avdeling 02;11120402023
3;01.05.2017;mandag;19:00;Eiger 1;3 - 1;Austrått 2;Hålå kunstgras;G19 2. div avd 02;11119202012
1;02.05.2017;tirsdag;17:15;Bogafjell 1;-;Austrått 1;;J11 Nivå 2 avd 03;11211203001
3;02.05.2017;tirsdag;17:30;Ganddal 1;-;Austrått 2;;J12 Nivå 2 avd 04;11212204013
1;02.05.2017;tirsdag;18:00;Austrått 2;-;Sokndal 1;;J11 Nivå 3 avd 03;11211303003
3;02.05.2017;tirsdag;18:00;Austrått 2;-;Vigrestad 1;;J11 Nivå 2 avd 04;11211204014
3;02.05.2017;tirsdag;18:00;Austrått 2;-;Hana 1;;G12 Nivå 2 avd 05;11112205015
3;02.05.2017;tirsdag;18:00;Austrått 1;-;Hana 1;;G11 Nivå 2 avd 08;11111208011
3;02.05.2017;tirsdag;18:00;Austrått 1;-;Sunde 1;;J12 Nivå 2 avd 02;11212202011
3;02.05.2017;tirsdag;18:00;Moi 1;-;Austrått 3;;J12 Nivå 2 avd 05;11212205013
1;02.05.2017;tirsdag;18:00;Bogafjell 2;-;Austrått 2;;G11 Nivå 2 avd 07;11111207001
3;02.05.2017;tirsdag;18:00;Sandved 3;-;Austrått 3;;G12 Nivå 3 avd 02;11112302014
3;02.05.2017;tirsdag;18:30;Austrått /Hana 1;6 - 1;Havdur 1;Iglemyr kunstgressbane;J13 2. div avd 02 Vårserie;11213202009
3;02.05.2017;tirsdag;18:30;Ålgård 3;-;Austrått 1;;G12 Nivå 2 avd 06;11112206014
3;02.05.2017;tirsdag;18:45;Austrått 2;16 - 0;Oltedal 1;;G16 7er avd 01;11116701015
7;02.05.2017;tirsdag;20:00;Austrått 1;0 - 2;Klepp 1;Iglemyr kunstgressbane;G15 1. div avd 01;11115101043
1;03.05.2017;onsdag;17:00;Ganddal 3;-;Austrått 1;;J09 avd 06;11209106002
1;03.05.2017;onsdag;17:00;Riska 1;-;Austrått 5;;G07 avd 14;11107114001
1;03.05.2017;onsdag;17:00;Ålgård 6;-;Austrått 1;;G07 avd 17;11107117003
1;03.05.2017;onsdag;17:00;Sandnes Ulf 7;-;Austrått 3;;G09 avd 16;11109116002
1;03.05.2017;onsdag;17:45;Sandved 2;-;Austrått 3;;G08 avd 15;11108115003
1;03.05.2017;onsdag;17:45;Sandved 1;-;Austrått 5;;G08 avd 17;11108117002
3;03.05.2017;onsdag;18:00;Riska 2;-;Austrått 2;;G10 Nivå 2 avd 09;11110209013
1;03.05.2017;onsdag;18:00;Austrått 1;-;Sandved 3;;G08 avd 13;11108113003
1;03.05.2017;onsdag;18:00;Staal Jørpeland 2;-;Austrått 2;;G08 avd 14;11108114003
1;03.05.2017;onsdag;18:00;Austrått 1;-;Ganddal 5;;G09 avd 17;11109117004
3;03.05.2017;onsdag;18:00;Austrått 3;-;Sandnes Ulf 1;;G10 Nivå 3 avd 02;11110302011
1;03.05.2017;onsdag;18:00;Austrått 1;-;Ålgård 3;;J08 avd 05;11208105001
1;03.05.2017;onsdag;18:00;Bogafjell 1;-;Austrått 1;;G10 Nivå 2 avd 08;11110208001
1;03.05.2017;onsdag;18:00;Austrått 4;-;Forsand 1;;G07 avd 13;11107113002
1;03.05.2017;onsdag;18:00;Austrått 4;-;Frøyland 1;;G08 avd 16;11108116003
1;03.05.2017;onsdag;18:00;Staal Jørpeland 1;-;Austrått 2;;G09 avd 14;11109114002
1;03.05.2017;onsdag;18:00;Austrått 4;-;Bogafjell 4;;G06 avd 10;11106110001
1;03.05.2017;onsdag;18:00;Austrått 3;-;Bogafjell 2;;G06 avd 06;11106106001
1;03.05.2017;onsdag;18:00;Austrått 1;-;Ganddal 1;;J07 avd 06;11207106001
1;03.05.2017;onsdag;18:00;Frøyland 2;-;Austrått 2;;J07 avd 09;11207109004
1;03.05.2017;onsdag;18:00;Bogafjell 3;-;Austrått 2;;G07 avd 15;11107115001
1;03.05.2017;onsdag;18:00;Austrått 4;-;Orstad 1;;G09 avd 15;11109115004
1;03.05.2017;onsdag;18:00;Austrått 2;-;Bogafjell 3;;G06 avd 08;11106108001
1;03.05.2017;onsdag;18:00;Bogafjell 5;-;Austrått 1;;G06 avd 09;11106109001
2;03.05.2017;onsdag;20:00;Hana 2;4 - 2;Austrått 3;Hanabanen;M 7 div 2017 avdeling 02;11120702006
8;03.05.2017;onsdag;20:00;Egersunds 1;2 - 0;Austrått 1;B&G-banen;G19 1. div avd 01;11119101053
5;04.05.2017;torsdag;19:00;Austrått;1 - 2;Nærbø;Iglemyr gras;M 4 div 2017 avdeling 02;11120402029
3;04.05.2017;torsdag;20:00;Lura 1;2 - 6;Austrått 1;Lura stadion;G16 1. div avd 01;11116101012
1;05.05.2017;fredag;17:00;Austrått 1;9 - 4;Hana 2;Iglemyr kunstgressbane;G14 2. div avd 03;11114203002
2;05.05.2017;fredag;19:00;Austrått /Ganddal 1;2 - 1;Nærbø 1;Iglemyr kunstgressbane;J16 1. div avd 01 Vårserie;11216101008
4;07.05.2017;søndag;19:30;Hundvåg 1;0 - 1;Austrått 1;Hundvåg kunstgras;G19 1. div avd 01;11119101023
2;08.05.2017;mandag;18:30;Sandved 1;1 - 1;Austrått 1;Sandved gress;G14 2. div avd 03;11114203007
4;08.05.2017;mandag;20:00;Austrått 2;0 - 5;Ålgård 2;Iglemyr gras;G19 2. div avd 02;11119202020
3;08.05.2017;mandag;20:00;Forus og Gausel;6 - 4;Austrått 2;Knudamyra kunstgress 1;M 5 div 2017 avdeling 02;11120502012
2;09.05.2017;tirsdag;18:00;Austrått 2;-;Ålgård 3;;G11 Nivå 2 avd 07;11111207008
4;09.05.2017;tirsdag;18:00;Austrått 1;-;Rosseland 2;;G12 Nivå 2 avd 06;11112206017
4;09.05.2017;tirsdag;18:00;Havdur 1;-;Austrått 1;;G11 Nivå 2 avd 08;11111208017
4;09.05.2017;tirsdag;18:00;Orre 1;-;Austrått 2;;J11 Nivå 2 avd 04;11211204018
4;09.05.2017;tirsdag;18:00;Austrått 2;-;Rosseland 2;;J12 Nivå 2 avd 04;11212204018
4;09.05.2017;tirsdag;18:00;Austrått 3;-;Varhaug 1;;J12 Nivå 2 avd 05;11212205018
4;09.05.2017;tirsdag;18:00;Austrått 3;-;Vardeneset 3;;G12 Nivå 3 avd 02;11112302017
2;09.05.2017;tirsdag;18:00;Rosseland 3;-;Austrått 1;;J07 avd 06;11207106005
2;09.05.2017;tirsdag;18:00;Tonstad 1;-;Austrått 2;;J11 Nivå 3 avd 03;11211303004
2;09.05.2017;tirsdag;18:00;Austrått 1;-;Kåsen 1;;J11 Nivå 2 avd 03;11211203008
2;09.05.2017;tirsdag;18:15;Forus og Gausel 6;-;Austrått 3;;G06 avd 06;11106106006
4;09.05.2017;tirsdag;18:30;Ålgård 1;0 - 3;Austrått /Hana 1;Solås kunstgressbane;J13 2. div avd 02 Vårserie;11213202014
3;09.05.2017;tirsdag;20:00;Austrått 3;2 - 0;Havdur 2;Iglemyr kunstgressbane;M 7 div 2017 avdeling 02;11120702011
8;09.05.2017;tirsdag;20:00;Vaulen 1;5 - 2;Austrått 1;Vaulenbanen;G15 1. div avd 01;11115101053
2;10.05.2017;onsdag;17:00;Riska 4;-;Austrått 4;;G07 avd 13;11107113007
2;10.05.2017;onsdag;17:00;Frøyland 1;-;Austrått 3;;G07 avd 16;11107116007
2;10.05.2017;onsdag;17:00;Sandnes Ulf 6;-;Austrått 2;;G06 avd 08;11106108006
2;10.05.2017;onsdag;17:00;Sandnes Ulf 7;-;Austrått 4;;G06 avd 10;11106110006
2;10.05.2017;onsdag;17:00;Ålgård 2;-;Austrått 1;;G08 avd 13;11108113006
2;10.05.2017;onsdag;18:00;Austrått 2;-;Ålgård 1;;J08 avd 06;11208106007
2;10.05.2017;onsdag;18:00;Austrått 1;-;Riska 1;;J09 avd 06;11209106006
4;10.05.2017;onsdag;18:00;Austrått 2;-;Sandnes Ulf 3;;G10 Nivå 2 avd 09;11110209018
2;10.05.2017;onsdag;18:00;Austrått 3;-;Ganddal 1;;G08 avd 15;11108115005
2;10.05.2017;onsdag;18:00;Austrått 3;-;Riska 2;;G09 avd 16;11109116006
2;10.05.2017;onsdag;18:00;Havdur 1;-;Austrått 1;;G09 avd 17;11109117008
2;10.05.2017;onsdag;18:00;Austrått 2;-;Sandved 2;;J07 avd 09;11207109007
2;10.05.2017;onsdag;18:00;Austrått 1;-;Frøyland 2;;G07 avd 17;11107117005
2;10.05.2017;onsdag;18:00;Austrått 2;-;Sandnes Ulf 5;;G08 avd 14;11108114005
2;10.05.2017;onsdag;18:00;Austrått 2;-;Bogafjell 4;;G09 avd 14;11109114006
4;10.05.2017;onsdag;18:00;Figgjo 1;-;Austrått 3;;G10 Nivå 3 avd 02;11110302017
2;10.05.2017;onsdag;18:00;Orstad 1;-;Austrått 1;;J08 avd 05;11208105005
2;10.05.2017;onsdag;18:00;Austrått 1;-;Havdur 1;;G10 Nivå 2 avd 08;11110208008
2;10.05.2017;onsdag;18:00;Figgjo 2;-;Austrått 4;;G08 avd 16;11108116006
1;10.05.2017;onsdag;18:00;Voll 1;-;Austrått 1;;J06 avd 02;11206102002
2;10.05.2017;onsdag;18:00;Austrått 1;-;Sandnes Ulf 1;;G06 avd 09;11106109005
2;10.05.2017;onsdag;18:30;Høle 1;-;Austrått 4;;G09 avd 15;11109115008
4;10.05.2017;onsdag;19:00;Randaberg 1;-;Austrått 1;;J12 Nivå 2 avd 02;11212202017
9;10.05.2017;onsdag;20:00;Austrått 1;1 - 2;Frøyland 1;Iglemyr gras;G19 1. div avd 01;11119101057
6;11.05.2017;torsdag;19:00;Riska;8 - 0;Austrått;KAPH-banen Riska stadion;M 4 div 2017 avdeling 02;11120402038
7;11.05.2017;torsdag;19:30;Ganddal 2;-;Austrått 3;;J12 Nivå 2 avd 05;11212205033
4;11.05.2017;torsdag;20:00;Bryne 3;3 - 4;Austrått 2;;G16 7er avd 01;11116701020
3;11.05.2017;torsdag;20:00;Austrått /Ganddal 1;1 - 1;Vardeneset 1;Iglemyr kunstgressbane;J16 1. div avd 01 Vårserie;11216101010
4;12.05.2017;fredag;18:00;Austrått 1;1 - 2;Vaulen 1;Iglemyr kunstgressbane;G16 1. div avd 01;11116101020
10;14.05.2017;søndag;17:00;Midtbygdens 1;5 - 0;Austrått 1;Tau kunstgress;G19 1. div avd 01;11119101068
2;14.05.2017;søndag;19:30;Bogafjell;1 - 3;Austrått;Bogafjell Kunstgressbane;OBOS cup menn 2017;11533301014
3;15.05.2017;mandag;16:30;Lura 1;-;Austrått 2;;J08 avd 06;11208106011
3;15.05.2017;mandag;17:00;Riska 3;-;Austrått 1;;G07 avd 17;11107117010
3;15.05.2017;mandag;17:00;Sandnes Ulf 2;-;Austrått 5;;G08 avd 17;11108117009
3;15.05.2017;mandag;17:00;Sandnes Ulf 5;-;Austrått 2;;G09 avd 14;11109114009
5;15.05.2017;mandag;18:30;Austrått /Hana 1;1 - 2;Eiger 2;Iglemyr kunstgressbane;J13 2. div avd 02 Vårserie;11213202017
4;15.05.2017;mandag;19:00;Austrått 2;1 - 3;Havdur;Iglemyr gras;M 5 div 2017 avdeling 02;11120502016
4;15.05.2017;mandag;20:00;Havørn 2;3 - 0;Austrått 3;Tananger kunstgress 2;M 7 div 2017 avdeling 02;11120702017
3;16.05.2017;tirsdag;17:45;Rosseland 4;-;Austrått 1;;J09 avd 06;11209106009
5;16.05.2017;tirsdag;18:00;Austrått 1;-;Sandved 2;;J12 Nivå 2 avd 02;11212202021
5;16.05.2017;tirsdag;18:00;Bjerkreim 1;-;Austrått 3;;J12 Nivå 2 avd 05;11212205021
5;16.05.2017;tirsdag;18:00;Austrått 1;-;Klepp 1;;G11 Nivå 2 avd 08;11111208021
3;16.05.2017;tirsdag;18:00;Austrått 2;-;Orstad 1;;J11 Nivå 3 avd 03;11211303007
5;16.05.2017;tirsdag;18:00;Hana 2;-;Austrått 1;;G12 Nivå 2 avd 06;11112206022
3;16.05.2017;tirsdag;18:00;Austrått 2;-;Sandnes Ulf 2;;G11 Nivå 2 avd 07;11111207010
3;16.05.2017;tirsdag;18:00;Austrått 1;-;Klepp 1;;J11 Nivå 2 avd 03;11211203010
5;16.05.2017;tirsdag;18:00;Austrått 2;-;Hinna 4;;G12 Nivå 2 avd 05;11112205025
5;16.05.2017;tirsdag;18:00;Orstad 1;-;Austrått 3;;G12 Nivå 3 avd 02;11112302022
5;16.05.2017;tirsdag;18:45;Austrått 2;8 - 0;Hellvik 1;;G16 7er avd 01;11116701025
3;17.05.2017;onsdag;18:00;Austrått 1;-;Riska 1;;G10 Nivå 2 avd 08;11110208010
3;17.05.2017;onsdag;18:00;Austrått 1;-;Ganddal 4;;G08 avd 13;11108113011
3;17.05.2017;onsdag;18:00;Forsand 1;-;Austrått 2;;G08 avd 14;11108114010
3;17.05.2017;onsdag;18:00;Bogafjell 2;-;Austrått 3;;G08 avd 15;11108115010
3;17.05.2017;onsdag;18:00;Austrått 4;-;Dirdal 1;;G09 avd 15;11109115012
3;17.05.2017;onsdag;18:00;Austrått 1;-;Lura 2;;G09 avd 17;11109117012
5;17.05.2017;onsdag;18:00;Austrått 3;-;Forsand 1;;G10 Nivå 3 avd 02;11110302021
3;17.05.2017;onsdag;18:00;Austrått 1;-;Sandnes Ulf 1;;J07 avd 06;11207106009
3;17.05.2017;onsdag;18:00;Nærbø 4;-;Austrått 2;;J07 avd 09;11207109011
3;17.05.2017;onsdag;18:00;Austrått 1;-;Høle 1;;J08 avd 05;11208105009
3;17.05.2017;onsdag;18:00;Austrått 5;-;Ålgård 2;;G07 avd 14;11107114010
3;17.05.2017;onsdag;18:00;Hana 2;-;Austrått 3;;G07 avd 16;11107116012
3;17.05.2017;onsdag;18:00;Austrått 4;-;Sandnes Ulf 1;;G08 avd 16;11108116011
2;17.05.2017;onsdag;18:00;Ganddal 1;-;Austrått 2;;J06 avd 01;11206101004
