Austrått 1;G15 1. div avd 01
Austrått 1;G19 1. div avd 01
Egersunds 2;G15 1. div avd 01
Vardeneset 1;G19 1. div avd 01
Staal Jørpeland;Kvalifisering NM Menn 2017
Austrått;M 4 div 2017 avdeling 02
Viking 2;G15 1. div avd 01
Hana 1;G19 2. div avd 02
Djerv 1919;M 4 div 2017 avdeling 02
Bogafjell 1;G12 Nivå 2 avd 06
Austrått 1;J12 Nivå 2 avd 02
Austrått 1;G11 Nivå 2 avd 08
Voll 2;J12 Nivå 2 avd 04
Austrått 2;J11 Nivå 2 avd 04
Austrått 2;G12 Nivå 2 avd 05
Lura 2;G12 Nivå 3 avd 02
Austrått /Hana 1;J13 2. div avd 02 Vårserie
Austrått 3;G10 Nivå 3 avd 02
Austrått 2;G16 7er avd 01
Varhaug 1;G19 1. div avd 01
Bryne 2;G16 1. div avd 01
Austrått 1;G16 1. div avd 01
Austrått 2;G19 2. div avd 02
Austrått 2;M 5 div 2017 avdeling 02
Varhaug 1;J13 2. div avd 02 Vårserie
Bogafjell 3;G12 Nivå 2 avd 05
Bryne 2;G11 Nivå 2 avd 08
Austrått 3;J12 Nivå 2 avd 05
Nærbø 1;J11 Nivå 2 avd 04
Austrått 1;G12 Nivå 2 avd 06
Austrått 3;G12 Nivå 3 avd 02
Ganddal 3;J12 Nivå 2 avd 02
Austrått 2;J12 Nivå 2 avd 04
Austrått 3;M 7 div 2017 avdeling 02
Randaberg 3;G16 7er avd 01
Ålgård 3;G10 Nivå 3 avd 02
Austrått 2;G10 Nivå 2 avd 09
Dirdal 1;G12 Nivå 2 avd 06
Forus og Gausel 2;J16 1. div avd 01 Vårserie
Klebe 1;G15 1. div avd 01
Kopervik;M 4 div 2017 avdeling 02
Eiger 1;G19 2. div avd 02
Bogafjell 1;J11 Nivå 2 avd 03
Ganddal 1;J12 Nivå 2 avd 04
Austrått 2;J11 Nivå 3 avd 03
Moi 1;J12 Nivå 2 avd 05
Bogafjell 2;G11 Nivå 2 avd 07
Sandved 3;G12 Nivå 3 avd 02
Ålgård 3;G12 Nivå 2 avd 06
Ganddal 3;J09 avd 06
Riska 1;G07 avd 14
Ålgård 6;G07 avd 17
Sandnes Ulf 7;G09 avd 16
Sandved 2;G08 avd 15
Sandved 1;G08 avd 17
Riska 2;G10 Nivå 2 avd 09
Austrått 1;G08 avd 13
Staal Jørpeland 2;G08 avd 14
Austrått 1;G09 avd 17
Austrått 1;J08 avd 05
Bogafjell 1;G10 Nivå 2 avd 08
Austrått 4;G07 avd 13
Austrått 4;G08 avd 16
Staal Jørpeland 1;G09 avd 14
Austrått 4;G06 avd 10
Austrått 3;G06 avd 06
Austrått 1;J07 avd 06
Frøyland 2;J07 avd 09
Bogafjell 3;G07 avd 15
Austrått 4;G09 avd 15
Austrått 2;G06 avd 08
Bogafjell 5;G06 avd 09
Hana 2;M 7 div 2017 avdeling 02
Egersunds 1;G19 1. div avd 01
Lura 1;G16 1. div avd 01
Austrått 1;G14 2. div avd 03
Austrått /Ganddal 1;J16 1. div avd 01 Vårserie
Hundvåg 1;G19 1. div avd 01
Sandved 1;G14 2. div avd 03
Forus og Gausel;M 5 div 2017 avdeling 02
Austrått 2;G11 Nivå 2 avd 07
Havdur 1;G11 Nivå 2 avd 08
Orre 1;J11 Nivå 2 avd 04
Rosseland 3;J07 avd 06
Tonstad 1;J11 Nivå 3 avd 03
Austrått 1;J11 Nivå 2 avd 03
Forus og Gausel 6;G06 avd 06
Ålgård 1;J13 2. div avd 02 Vårserie
Vaulen 1;G15 1. div avd 01
Riska 4;G07 avd 13
Frøyland 1;G07 avd 16
Sandnes Ulf 6;G06 avd 08
Sandnes Ulf 7;G06 avd 10
Ålgård 2;G08 avd 13
Austrått 2;J08 avd 06
Austrått 1;J09 avd 06
Austrått 3;G08 avd 15
Austrått 3;G09 avd 16
Havdur 1;G09 avd 17
Austrått 2;J07 avd 09
Austrått 1;G07 avd 17
Austrått 2;G08 avd 14
Austrått 2;G09 avd 14
Figgjo 1;G10 Nivå 3 avd 02
Orstad 1;J08 avd 05
Austrått 1;G10 Nivå 2 avd 08
Figgjo 2;G08 avd 16
Voll 1;J06 avd 02
Austrått 1;G06 avd 09
Høle 1;G09 avd 15
Randaberg 1;J12 Nivå 2 avd 02
Riska;M 4 div 2017 avdeling 02
Ganddal 2;J12 Nivå 2 avd 05
Bryne 3;G16 7er avd 01
Midtbygdens 1;G19 1. div avd 01
Bogafjell;OBOS cup menn 2017
Lura 1;J08 avd 06
Riska 3;G07 avd 17
Sandnes Ulf 2;G08 avd 17
Sandnes Ulf 5;G09 avd 14
Havørn 2;M 7 div 2017 avdeling 02
Rosseland 4;J09 avd 06
Bjerkreim 1;J12 Nivå 2 avd 05
Hana 2;G12 Nivå 2 avd 06
Orstad 1;G12 Nivå 3 avd 02
Forsand 1;G08 avd 14
Bogafjell 2;G08 avd 15
Nærbø 4;J07 avd 09
Austrått 5;G07 avd 14
Hana 2;G07 avd 16
Ganddal 1;J06 avd 01
Austrått 1;J06 avd 02
Hana 3;G10 Nivå 2 avd 09
Austrått 2;G07 avd 15
Ganddal 3;G09 avd 16
Riska 1;G14 2. div avd 03
Riska 1;G11 Nivå 2 avd 08
Bjerkreim 1;J11 Nivå 2 avd 03
Ålgård 4;G12 Nivå 2 avd 05
Hana 2;G11 Nivå 2 avd 07
Madla 1;J12 Nivå 2 avd 02
Sandnes Ulf 4;G06 avd 10
Tonstad 1;J13 2. div avd 02 Vårserie
Ålgård 3;G16 7er avd 01
Vardeneset 1;G15 1. div avd 01
Riska 1;G09 avd 17
Lura 1;G08 avd 13
Frøyland 1;J08 avd 05
Bogafjell 2;J07 avd 06
Hana 3;G07 avd 15
Austrått 5;G08 avd 17
Bogafjell 1;G09 avd 15
Klebe 1;G10 Nivå 3 avd 02
Voll 2;G06 avd 08
Bogafjell 2;G07 avd 14
Austrått 3;G07 avd 16
Bogafjell 5;G08 avd 16
Austrått 2;J06 avd 01
Ganddal 2;G06 avd 06
Hinna 7;G10 Nivå 2 avd 08
Brodd 2;OBOS cupen G16
Klepp 1;J12 Nivå 2 avd 04
Moi 1 5er;J11 Nivå 3 avd 03
Kvitsøy 1;G12 Nivå 3 avd 02
Vard Haugesund 2;M 4 div 2017 avdeling 02
Sola 1;G16 1. div avd 01
Sandved 1;J08 avd 06
Orstad 2;G07 avd 17
Hana 2;G08 avd 13
Hana 1;G08 avd 14
Ålgård 2;J07 avd 09
Ålgård 5;G07 avd 16
Bogafjell 1;G07 avd 13
Randaberg 1;G19 1. div avd 01
Randaberg 2;J06 avd 02
Ganddal 1;G06 avd 09
Sandnes Ulf 4;G08 avd 15
Ganddal 1;G10 Nivå 2 avd 09
Riska 3;M 7 div 2017 avdeling 02
Forus og Gausel 3;G12 Nivå 3 avd 02
Forsand;M 5 div 2017 avdeling 02
Egersunds 2;G19 2. div avd 02
Ålgård 4;G11 Nivå 2 avd 08
Mastra 1;J12 Nivå 2 avd 02
Sokndal 1;J11 Nivå 3 avd 03
Klepp 2;J11 Nivå 2 avd 03
Høle 1;G12 Nivå 2 avd 06
Forus og Gausel 4;G06 avd 06
Sandnes Ulf 3;G14 2. div avd 03
Sandnes Ulf 1;J08 avd 05
Bogafjell 5;G07 avd 17
Sandnes Ulf 2;G07 avd 14
Riska 2;G07 avd 15
Riska 2;G08 avd 15
Bogafjell 1;G08 avd 17
Randaberg 1;J06 avd 01
Høle 1;G08 avd 14
Høle 1;G11 Nivå 2 avd 07
Klebe 2;J07 avd 06
Sandved 1;G10 Nivå 2 avd 08
Sandved 2;G09 avd 14
Ålgård 1;G09 avd 16
Stavanger 3;G10 Nivå 3 avd 02
Ganddal 5;G06 avd 08
Varhaug;M 4 div 2017 avdeling 02
Egersunds 1;J16 1. div avd 01 Vårserie
Finnøy 1;G16 7er avd 01
Oltedal;M 5 div 2017 avdeling 02
Riska 2;G12 Nivå 2 avd 05
Voll 1;J12 Nivå 2 avd 04
Frøyland 1;J12 Nivå 2 avd 05
Ålgård 5;G08 avd 16
Riska 4;G09 avd 15
Sandnes Ulf 6;G09 avd 17
Bogafjell 3;G08 avd 13
Sviland 1;J07 avd 09
Lura 1;G10 Nivå 2 avd 09
Hana 4;G07 avd 13
Figgjo 2;G07 avd 16
Bogafjell 3;G06 avd 08
Bogafjell 4;G06 avd 10
Bogafjell 1;J08 avd 06
Bogafjell 2;G06 avd 06
Bryne 3;G19 1. div avd 01
Stavanger 2;M 7 div 2017 avdeling 02
Vidar 2;J16 1. div avd 01 Vårserie
Moi 1;G19 2. div avd 02
Bryne 3;J13 2. div avd 02 Vårserie
Randaberg 2;G16 7er avd 01
Bogafjell 1;G15 1. div avd 01
Åkra;M 4 div 2017 avdeling 02
Vardeneset 2;M 5 div 2017 avdeling 02
Austrått;OBOS cup menn 2017
Avaldsnes;M 4 div 2017 avdeling 02
Figgjo;M 5 div 2017 avdeling 02
Ganddal 2;M 7 div 2017 avdeling 02
Hinna 2;G19 1. div avd 01
Frøyland;M 4 div 2017 avdeling 02
Austrått 1;OBOS cupen G16
Austrått /Hana 1;J13 2. div avd 04 Høst
Riska 2;J12 Nivå 2 avd 04
Bogafjell 1;J12 Nivå 2 avd 02
Bogafjell 3;G11 Nivå 2 avd 08
Orstad 1;J11 Nivå 3 avd 03
Midtbygdens 1;G12 Nivå 2 avd 05
Egersunds 1;J16 1. div avd 03 Høst
Frøyland 1;G08 avd 16
Ganddal 1;J07 avd 06
Sandnes Ulf 1;G06 avd 09
Ganddal 5;G09 avd 17
Ålgård 3;J08 avd 05
Ganddal 2;J06 avd 02
Forsand 1;G07 avd 13
Sandved 3;G08 avd 13
Orstad 1;G09 avd 15
Sviland 1;G10 Nivå 3 avd 02
Riska 1;J09 avd 06
Viking 2;J13 2. div avd 04 Høst
Sandnes Ulf 3;G12 Nivå 3 avd 02
Ålgård 3;G11 Nivå 2 avd 07
Kåsen 1;J11 Nivå 2 avd 03
Havdur 1;OBOS cup menn 2017
Egersunds 2;J12 Nivå 2 avd 05
Finnøy 1;G15 1. div avd 01
Havdur 2;M 7 div 2017 avdeling 02
Havdur 1;G10 Nivå 2 avd 08
Sandnes Ulf 5;G08 avd 14
Ganddal 1;G08 avd 15
Riska 2;G09 avd 16
Frøyland 2;G07 avd 17
Ålgård 1;J08 avd 06
Bryne 3;G10 Nivå 2 avd 09
Forus og Gausel 1;J06 avd 01
Sandved 2;J07 avd 09
Bogafjell 4;G09 avd 14
Voll 1;G06 avd 09
Klepp 1;G19 1. div avd 01
Oltedal 1;G16 7er avd 01
Nærbø;M 4 div 2017 avdeling 02
Austrått /Ganddal 1;J16 1. div avd 03 Høst
Brusand 1;G19 2. div avd 02
Havdur;M 5 div 2017 avdeling 02
Sandnes Ulf 2;G11 Nivå 2 avd 07
Klepp 1;J11 Nivå 2 avd 03
Sunde 1;J12 Nivå 2 avd 02
Hana 1;G11 Nivå 2 avd 08
Rosseland 2;J12 Nivå 2 avd 04
Sandnes Ulf 1;J07 avd 06
Hana 1;G12 Nivå 2 avd 05
Sandnes Ulf 1;G10 Nivå 3 avd 02
Ganddal 4;G08 avd 13
Sandnes Ulf 1;G08 avd 16
Sandnes Ulf 2;G06 avd 08
Riska 1;G10 Nivå 2 avd 08
Ålgård 2;G07 avd 14
Ålgård 1;G07 avd 15
Hana 1;G06 avd 10
Høle 1;J08 avd 05
Dirdal 1;G09 avd 15
Lura 2;G09 avd 17
Mastra 2;J06 avd 01
Hinna 2;G06 avd 06
Varhaug 1;J12 Nivå 2 avd 05
Vardeneset 3;G12 Nivå 3 avd 02
Hellvik 1;G16 7er avd 01
Hinna 2;M 7 div 2017 avdeling 02
Hundvåg 1;G15 1. div avd 01
Vigrestad 1;J16 1. div avd 03 Høst
Ganddal 1;G07 avd 16
Frøyland 2;J08 avd 06
Sandnes Ulf 3;G10 Nivå 2 avd 09
Lura 2;G08 avd 17
Sandnes Ulf 8;G06 avd 09
Høle 1;G07 avd 13
Frøyland 1;J09 avd 06
Bogafjell 1;J07 avd 09
Ålgård 5;G09 avd 16
Mastra 1;J06 avd 02
Ålgård 2;G19 2. div avd 02
Skjold;M 4 div 2017 avdeling 02
Vaulen 1;G16 1. div avd 01
Lura 1;G14 2. div avd 03
Sandved;M 5 div 2017 avdeling 02
Nærbø 1;G19 2. div avd 02
Ålgård 1;J13 2. div avd 04 Høst
Høle 1;J09 avd 06
Sandved 2;J12 Nivå 2 avd 02
Klepp 1;G11 Nivå 2 avd 08
Hinna 4;G12 Nivå 2 avd 05
Riska 1;J12 Nivå 2 avd 04
Frøyland 4;G07 avd 15
Sandved 1;J07 avd 06
Sandved 2;J08 avd 05
Staal Jørpeland 1;G08 avd 17
Bogafjell 2;G09 avd 16
Lura 3;G07 avd 14
Hana 1;G09 avd 14
Bogafjell 3;G09 avd 17
Forsand 1;G10 Nivå 3 avd 02
Sola 2;G10 Nivå 2 avd 08
Rosseland 3;J11 Nivå 2 avd 03
Viking 2;G16 1. div avd 01
Frøyland 2;G12 Nivå 3 avd 02
Egersunds 1;J12 Nivå 2 avd 05
Klepp 1;G15 1. div avd 01
Hana 2;G14 2. div avd 03
Riska 1;G08 avd 13
Ålgård 2;G16 7er avd 01
Sandnes Ulf 2;J08 avd 06
Ganddal 2;G08 avd 16
Bogafjell 2;G10 Nivå 2 avd 09
Lura 1;G07 avd 16
Oltedal 1;G09 avd 15
Klebe 1;J07 avd 09
Sviland 1;G07 avd 13
Ålgård 4;G09 avd 17
Julebygda;M 7 div 2017 avdeling 02
Frøyland 1;G19 1. div avd 01
Vardeneset;M 4 div 2017 avdeling 02
Staal Jørpeland 2;M 5 div 2017 avdeling 02
Frøyland 2;G19 2. div avd 02
Riska 2;G11 Nivå 2 avd 07
Sandnes Ulf 5;G11 Nivå 2 avd 08
Havdur 1;J11 Nivå 2 avd 03
Klepp 5;G12 Nivå 2 avd 05
Lura 1;J12 Nivå 2 avd 02
Frøyland 2;G09 avd 16
Rosseland 1;J12 Nivå 2 avd 04
Ganddal 3;G08 avd 17
Riska 3;G09 avd 14
Bogafjell 4;G08 avd 14
Ålgård 4;G08 avd 15
Bogafjell 1;J09 avd 06
Hana 2;G10 Nivå 2 avd 08
Hana 1;G07 avd 14
Figgjo 1;G07 avd 15
Sandnes Ulf 6;G10 Nivå 3 avd 02
KFUM Stavanger 1;J13 2. div avd 04 Høst
Vardeneset 1;J16 1. div avd 03 Høst
Rosseland 2;M 7 div 2017 avdeling 02
Vaulen;M 4 div 2017 avdeling 02
Sandnes Ulf 4;G07 avd 17
Forus og Gausel 2;G12 Nivå 2 avd 05
Vidar 1;G19 1. div avd 01
Bogafjell;M 5 div 2017 avdeling 02
Rosseland 3;J12 Nivå 2 avd 05
Rosseland 4;G10 Nivå 2 avd 09
Forus og Gausel 2;J16 1. div avd 03 Høst
Madla 1;G16 1. div avd 01
Sandnes Ulf 2;G19 2. div avd 02
Ganddal 1;G12 Nivå 3 avd 02
Finnøy 1;J12 Nivå 2 avd 02
Bogafjell 5;G11 Nivå 2 avd 08
Forus og Gausel 1;J13 2. div avd 04 Høst
Nærbø 1;G15 1. div avd 01
Ganddal 2;G10 Nivå 3 avd 02
Randaberg 1;G16 1. div avd 01
Mastra 1;G16 7er avd 01
Ålgård;M 4 div 2017 avdeling 02
Tjensvoll 1;G16 1. div avd 01
Ålgård 1;G19 1. div avd 01
Klepp;OBOS cupen G16
Ålgård 1;G15 1. div avd 01
Frøyland 1;NM G19
Austrått;Kvalifisering NM Menn 2017
Rosseland 2;J11 Nivå 2 avd 04
Frøyland 1;J13 2. div avd 02 Vårserie
Eiger 1;G16 1. div avd 01
Sandved 2;G12 Nivå 2 avd 06
Madla 2;G19 1. div avd 01
Vigrestad 1;J11 Nivå 2 avd 04
Havdur 1;J13 2. div avd 02 Vårserie
Nærbø 1;J16 1. div avd 01 Vårserie
Rosseland 2;G12 Nivå 2 avd 06
Vardeneset 1;J16 1. div avd 01 Vårserie
Eiger 2;J13 2. div avd 02 Vårserie
Eiger 1;J16 1. div avd 01 Vårserie
Voll 1;G12 Nivå 2 avd 06
Ålgård 1;J11 Nivå 3 avd 03
Lura 4;G09 avd 14
Lura 1;G11 Nivå 2 avd 07
Orre 1;J13 2. div avd 02 Vårserie
Ålgård 4;G10 Nivå 3 avd 02
Hana 2;G09 avd 15
Riska 1;G12 Nivå 2 avd 06
Midtbygdens 1;J16 1. div avd 01 Vårserie
Voll 3;G14 2. div avd 03
Kåsen;OBOS cup menn 2017
Moi;OBOS cup menn 2017
Sola;OBOS cupen G16
Voll 1;J13 2. div avd 04 Høst
Hundvåg 1;J13 2. div avd 04 Høst
Mastra 1;J13 2. div avd 04 Høst
Randaberg 2;J13 2. div avd 04 Høst
Djerv 1919;OBOS cup menn 2017
Austrått 1;NM G19
